;gamintojas;metai;kaina;rida;pavaros;kuras;variklis
1140;BMW 520;2008;3 000 €;450 948 km;Mechaninė;Dyzelinas;2.0 l., 130kW
1141;Opel Insignia;2009;3 000 €;328 622 km;Automatinė;Dyzelinas;2.0 l., 96kW
1142;BMW 320;2007;3 000 €;338 726 km;Automatinė;Dyzelinas;2.0 l., 120kW
1143;Volvo V50;2010;3 000 €;224 000 km;Mechaninė;Dyzelinas;1.6 l., 80kW
1144;BMW 535;2006;3 000 €;404 254 km;Automatinė;Dyzelinas;3.0 l., 200kW
1145;Ford C-MAX;2011;3 000 €;215 000 km;Mechaninė;Dyzelinas;Nenurodyta
1146;Opel Astra;2013;3 000 €;245 000 km;Mechaninė;Dyzelinas;1.7 l., 96kW
1147;Ford S-MAX;2011;3 000 €;Vienatūris;350 000 km;Dyzelinas;Nenurodyta
1148;Audi A4;2010;3 000 €;291 312 km;Mechaninė;Benzinas;2.0 l., 132kW
1149;Volkswagen Touran;2007;3 000 €;313 000 km;Automatinė;Dyzelinas;2.0 l., 103kW
1150;Volkswagen Sharan;2005;3 000 €;229 000 km;Mechaninė;Benzinas;2.0 l., 85kW
1151;Peugeot 5008;2010;3 000 €;233 000 km;Mechaninė;Dyzelinas;1.6 l., 80kW
1152;Volkswagen Passat;2005;3 000 €;219 000 km;Mechaninė;Dyzelinas;2.0 l., 103kW
1153;Volkswagen Golf;2011;3 000 €;22 111 km;Automatinė;Benzinas;1.5 l., 96kW
1154;Mercedes-Benz E220;2014;3 000 €;422 462 km;Automatinė;Dyzelinas;2.1 l., 125kW
1155;Honda Civic;2008;3 000 €;212 213 km;Mechaninė;Benzinas;1.8 l., 103kW
1156;Audi A4;2005;3 000 €;217 000 km;Mechaninė;Benzinas;1.8 l., 120kW
1157;Volkswagen Touran;2006;3 000 €;315 000 km;Automatinė;Dyzelinas;1.9 l., 77kW
1158;Mercedes-Benz SLK230;1998;3 050 €;300 000 km;Mechaninė;Benzinas;2.3 l., 142kW
1159;Volkswagen Passat;2010;3 050 €;223 000 km;Automatinė;Dyzelinas;2.0 l., 103kW
1160;Nissan Note;2011;3 050 €;271 000 km;Mechaninė;Dyzelinas;1.5 l., 66kW
1161;Opel Zafira;2008;3 050 €;166 656 km;Mechaninė;Dyzelinas;1.9 l., 74kW
1162;Opel Zafira;2008;3 099 €;215 000 km;Mechaninė;Benzinas / dujos;1.6 l., 69kW
1163;Peugeot 308;2012;3 100 €;263 197 km;Mechaninė;Dyzelinas;1.6 l., 68kW
1164;Volkswagen Golf;2012;3 100 €;305 666 km;Automatinė;Dyzelinas;1.6 l., 77kW
1165;Hyundai Tucson;2007;3 100 €;261 000 km;Mechaninė;Dyzelinas;2.0 l., 103kW
1166;Peugeot 5008;2011;3 100 €;241 670 km;Mechaninė;Dyzelinas;1.6 l., 82kW
1167;Mazda 3;2009;3 100 €;300 000 km;Mechaninė;Dyzelinas;2.2 l., 136kW
1168;Citroen C4;2012;3 100 €;Hečbekas;300 000 km;Dyzelinas;Nenurodyta
1169;Peugeot 807;2009;3 100 €;375 000 km;Automatinė;Dyzelinas;2.2 l., 125kW
1170;Mitsubishi L400;2001;3 100 €;298 000 km;Mechaninė;Dyzelinas;2.5 l., 64kW
1171;Citroen C5;2009;3 100 €;260 000 km;Automatinė;Dyzelinas;2.0 l., 100kW
1172;Ford Fiesta;2012;3 149 €;340 000 km;Mechaninė;Dyzelinas;1.4 l., 50kW
1173;Volkswagen Polo;2011;3 150 €;256 000 km;Mechaninė;Benzinas / dujos;1.2 l., 51kW
1174;Volkswagen Passat;2008;3 150 €;327 801 km;Mechaninė;Dyzelinas;1.9 l., 77kW
1175;Toyota Urban Cruiser;2009;3 150 €;230 000 km;Mechaninė;Dyzelinas;1.4 l., 66kW
1176;Toyota iQ;2009;3 150 €;134 500 km;Mechaninė;Dyzelinas;1.4 l., 66kW
1177;Fiat Punto Evo;2012;3 150 €;277 000 km;Mechaninė;Dyzelinas;1.3 l., 66kW
1178;Opel Meriva;2007;3 150 €;75 000 km;Mechaninė;Benzinas;Nenurodyta
1179;Citroen C5;2009;3 150 €;260 000 km;Mechaninė;Dyzelinas;2.0 l., 103kW
1180;Citroen C5;2011;3 150 €;126 800 km;Mechaninė;Benzinas;1.6 l., 115kW
1181;Ford Mondeo;2006;3 150 €;233 000 km;Mechaninė;Dyzelinas;2.2 l., 160kW
1182;Nissan Qashqai;2007;3 199 €;249 000 km;Mechaninė;Dyzelinas;1.5 l., 78kW
1183;Mazda 3;2016;3 199 €;160 000 km;Mechaninė;Dyzelinas;1.5 l., 77kW
1184;BMW 330;2007;3 200 €;298 000 km;Automatinė;Dyzelinas;3.0 l., 145kW
1185;Dodge Nitro;2007;3 200 €;260 000 km;Mechaninė;Dyzelinas;2.8 l., 130kW
1186;Ford Galaxy;2008;3 200 €;245 000 km;Automatinė;Benzinas;2.3 l., 118kW
1187;Opel Insignia;2011;3 200 €;326 305 km;Mechaninė;Dyzelinas;2.0 l., 96kW
1188;Opel Antara;2007;3 200 €;244 000 km;Automatinė;Benzinas / dujos;Nenurodyta
1189;Toyota Avensis;2006;3 200 €;130 000 km;Automatinė;Benzinas;2.0 l., 108kW
1190;Volvo XC90;2007;3 200 €;429 326 km;Automatinė;Dyzelinas;2.4 l., 136kW
1191;Opel Insignia;2012;3 200 €;286 202 km;Automatinė;Dyzelinas;2.0 l., 118kW
1192;Skoda Fabia;2012;3 200 €;283 847 km;Mechaninė;Benzinas;1.2 l., 63kW
1193;Renault Twizy;2012;3 200 €;61 000 km;Automatinė;Elektra, 6 kWh;4kW
1194;Volvo V50;2007;3 200 €;270 000 km;Mechaninė;Dyzelinas;2.0 l., 100kW
1195;Toyota Avensis;2009;3 200 €;300 000 km;Automatinė;Dyzelinas;2.2 l., 110kW
1196;BMW 520;2007;3 200 €;310 480 km;Automatinė;Dyzelinas;2.0 l., 120kW
1197;Opel Insignia;2011;3 200 €;299 214 km;Mechaninė;Dyzelinas;2.0 l., 96kW
1198;BMW X1;2011;3 200 €;281 307 km;Automatinė;Dyzelinas;2.0 l., 130kW
1199;Hyundai IONIQ;2016;3 200 €;190 000 km;Automatinė;Benzinas / elektra;1.6 l., 77kW
1200;Opel Insignia;2009;3 200 €;317 000 km;Automatinė;Dyzelinas;118kW
1201;Renault Megane;2010;3 200 €;290 000 km;Automatinė;Dyzelinas;1.5 l., 81kW
1202;Mercedes-Benz E220;2010;3 249 €;496 966 km;Automatinė;Dyzelinas;2.1 l., 125kW
1203;Volkswagen Golf;2007;3 250 €;121 000 km;Mechaninė;Benzinas;1.6 l., 75kW
1204;Volvo V50;2005;3 250 €;188 100 km;Mechaninė;Benzinas / dujos;2.4 l., 125kW
1205;Chevrolet Captiva;2007;3 250 €;264 034 km;Mechaninė;Dyzelinas;2.0 l., 110kW
1206;Land Rover Discovery;1999;3 250 €;178 800 km;Automatinė;Dyzelinas;2.5 l., 102kW
1207;Jeep Cherokee;2002;3 250 €;320 000 km;Mechaninė;Dyzelinas;2.5 l., 105kW
1208;Chevrolet Captiva;2007;3 250 €;181 101 km;Mechaninė;Dyzelinas;2.0 l., 110kW
1209;Skoda Fabia;2009;3 250 €;163 436 km;Mechaninė;Dyzelinas;1.4 l., 51kW
1210;BMW 320;2005;3 250 €;350 000 km;Automatinė;Dyzelinas;2.0 l., 120kW
1211;Ford S-MAX;2008;3 250 €;287 000 km;Mechaninė;Dyzelinas;1.8 l., 92kW
1212;Volkswagen Beetle;2007;3 250 €;248 276 km;Mechaninė;Dyzelinas;1.9 l., 77kW
1213;Ford S-MAX;2006;3 250 €;269 000 km;Mechaninė;Benzinas;2.5 l., 162kW
1214;Citroen Grand C4 Picasso;2011;3 250 €;132 000 km;Automatinė;Benzinas;1.6 l., 115kW
1215;Citroen Berlingo;2009;3 250 €;337 000 km;Mechaninė;Dyzelinas;1.6 l., 81kW
1216;Subaru Legacy;2004;3 250 €;375 000 km;Automatinė;Benzinas / dujos;2.5 l., 121kW
1217;Toyota Camry;2002;3 250 €;299 000 km;Automatinė;Benzinas;2.4 l., 112kW
1218;Toyota Hiace;2006;3 255 €;278 000 km;Mechaninė;Dyzelinas;2.5 l., 75kW
1219;Volvo V70;2008;3 299 €;300 000 km;Mechaninė;Dyzelinas;2.0 l., 100kW
1220;Volvo V70;2008;3 299 €;300 000 km;Mechaninė;Dyzelinas;2.0 l., 100kW
1221;Nissan Navara;2006;3 300 €;290 386 km;Mechaninė;Dyzelinas;2.5 l., 98kW
1222;Skoda Octavia;2012;3 300 €;340 000 km;Automatinė;Dyzelinas;1.6 l., 77kW
1223;Citroen C4 Picasso;2011;3 300 €;183 000 km;Mechaninė;Dyzelinas;1.6 l., 82kW
1224;Opel Corsa;2008;3 300 €;165 000 km;Mechaninė;Benzinas;1.4 l., 66kW
1225;Audi A3;2006;3 300 €;312 000 km;Mechaninė;Dyzelinas;2.0 l., 77kW
1226;Suzuki SX4;2007;3 300 €;157 000 km;Mechaninė;Dyzelinas;1.6 l., 66kW
1227;BMW 320;2006;3 300 €;278 407 km;Mechaninė;Benzinas;2.0 l., 110kW
1228;Skoda Octavia Scout;2009;3 300 €;369 107 km;Mechaninė;Dyzelinas;2.0 l., 103kW
1229;Ford Galaxy;2007;3 300 €;256 818 km;Mechaninė;Benzinas;2.0 l., 107kW
1230;Opel Meriva;2010;3 300 €;283 962 km;Automatinė;Dyzelinas;1.7 l., 74kW
1231;Mercedes-Benz C200;2008;3 300 €;306 000 km;Mechaninė;Dyzelinas;2.2 l., 100kW
1232;Citroen C4;2011;3 300 €;226 517 km;Mechaninė;Dyzelinas;1.6 l., 68kW
1233;Opel Insignia;2011;3 300 €;363 268 km;Mechaninė;Dyzelinas;2.0 l., 118kW
1234;Volkswagen Touran;2008;3 300 €;294 000 km;Automatinė;Dyzelinas;2.0 l., 103kW
1235;Toyota Avensis;2011;3 300 €;342 770 km;Automatinė;Dyzelinas;2.2 l., 110kW
1236;Skoda Roomster;2011;3 300 €;251 000 km;Mechaninė;Dyzelinas;1.6 l., 66kW
1237;Mercedes-Benz B180;2009;3 300 €;185 000 km;Mechaninė;Dyzelinas;2.0 l., 80kW
1238;BMW 320;2006;3 300 €;399 999 km;Automatinė;Dyzelinas;2.0 l., 120kW
1239;Hyundai Terracan;2005;3 300 €;220 000 km;Automatinė;Dyzelinas;2.9 l., 120kW
1240;BMW X3;2004;3 300 €;350 000 km;Automatinė;Dyzelinas;3.0 l., 150kW
1241;Peugeot 207;2010;3 300 €;210 000 km;Mechaninė;Dyzelinas;1.6 l., 66kW
1242;Ford Focus;2009;3 300 €;250 000 km;Mechaninė;Dyzelinas;1.6 l., 80kW
1243;Peugeot 5008;2010;3 300 €;254 000 km;Mechaninė;Dyzelinas;1.6 l., 80kW
1244;Toyota Avensis;2009;3 300 €;292 146 km;Mechaninė;Dyzelinas;2.0 l., 93kW
1245;Toyota Avensis;2009;3 300 €;292 146 km;Mechaninė;Dyzelinas;2.0 l., 93kW
1246;Citroen Jumper;2013;3 328 €;246 000 km;Mechaninė;Dyzelinas;2.2 l., 96kW
1247;BMW 320;2006;3 350 €;345 000 km;Mechaninė;Dyzelinas;2.0 l., 120kW
1248;Audi A6;2005;3 350 €;350 000 km;Automatinė;Dyzelinas;2.7 l., 132kW
1249;Volkswagen Touareg;2006;3 350 €;265 000 km;Automatinė;Dyzelinas;3.0 l., 165kW
1250;BMW 118;2010;3 350 €;320 500 km;Mechaninė;Dyzelinas;2.0 l., 105kW
1251;Ford S-MAX;2009;3 350 €;270 000 km;Automatinė;Dyzelinas;2.0 l., 96kW
1252;Volvo V70;2006;3 350 €;337 465 km;Automatinė;Dyzelinas;2.4 l., 136kW
1253;Citroen Grand C4 Picasso;2013;3 350 €;256 000 km;Automatinė;Dyzelinas;Nenurodyta
1254;Volkswagen Golf;2009;3 350 €;222 300 km;Mechaninė;Benzinas;1.4 l., 59kW
1255;Subaru Impreza;2006;3 350 €;247 621 km;Mechaninė;Benzinas;2.0 l., 118kW
1256;Mercedes-Benz A170;2006;3 350 €;202 000 km;Automatinė;Benzinas;1.7 l., 85kW
1257;Seat Altea XL;2008;3 350 €;302 000 km;Automatinė;Dyzelinas;1.9 l., 77kW
1258;Ford Mondeo;2010;3 350 €;246 000 km;Automatinė;Dyzelinas;2.0 l., 103kW
1259;Ford C-MAX;2010;3 350 €;208 000 km;Mechaninė;Dyzelinas;1.6 l., 85kW
1260;Volkswagen Golf Plus;2007;3 399 €;230 000 km;Mechaninė;Benzinas;1.6 l., 85kW
1261;Mitsubishi L200;1999;3 400 €;190 386 km;Mechaninė;Dyzelinas;2.5 l., 74kW
1262;Nissan Navara;2003;3 400 €;270 638 km;Mechaninė;Dyzelinas;2.5 l., 98kW
1263;Jeep Cherokee;2005;3 400 €;241 411 km;Mechaninė;Dyzelinas;2.5 l., 105kW
1264;Seat Altea XL;2010;3 400 €;260 000 km;Mechaninė;Dyzelinas;1.6 l., 77kW
1265;Ford Fiesta;2012;3 400 €;266 460 km;Mechaninė;Dyzelinas;1.6 l., 70kW
1266;BMW 650;2006;3 400 €;312 000 km;Automatinė;Benzinas;4.8 l., 270kW
1267;BMW 530;2007;3 400 €;374 615 km;Mechaninė;Dyzelinas;3.0 l., 173kW
1268;BMW 520;2008;3 400 €;276 088 km;Automatinė;Dyzelinas;2.0 l., 130kW
1269;Opel Antara;2007;3 400 €;250 000 km;Mechaninė;Dyzelinas;2.0 l., 110kW
1270;Dacia Dokker;2013;3 400 €;193 000 km;Mechaninė;Dyzelinas;Nenurodyta
1271;Audi A6;2006;3 400 €;380 000 km;Mechaninė;Dyzelinas;2.0 l., 103kW
1272;Opel Insignia;2010;3 400 €;291 232 km;Mechaninė;Dyzelinas;2.0 l., 118kW
1273;Volkswagen Touran;2012;3 400 €;305 000 km;Mechaninė;Benzinas;1.2 l., 77kW
1274;Toyota Aygo;2015;3 400 €;100 000 km;Mechaninė;Benzinas;1.0 l., 51kW
1275;BMW 318;2010;3 400 €;215 270 km;Mechaninė;Benzinas;2.0 l., 105kW
1276;Opel Astra;2011;3 400 €;309 960 km;Mechaninė;Dyzelinas;1.7 l., 92kW
1277;Suzuki Swift;2020;3 400 €;43 500 km;Mechaninė;Benzinas / elektra;1.2 l., 61kW
1278;Opel Astra;2010;3 400 €;210 000 km;Mechaninė;Dyzelinas;1.7 l., 92kW
1279;Volvo V60;2011;3 400 €;385 000 km;Mechaninė;Dyzelinas;2.0 l., 120kW
1280;Volkswagen Phaeton;2005;3 400 €;320 000 km;Automatinė;Dyzelinas;3.0 l., 165kW
1281;Renault Grand Scenic;2011;3 400 €;243 000 km;Mechaninė;Dyzelinas;1.9 l., 96kW
1282;BMW 120;2007;3 420 €;240 000 km;Mechaninė;Benzinas;2.0 l., 105kW
1283;Renault Scenic;2010;3 450 €;268 000 km;Mechaninė;Dyzelinas;1.9 l., 96kW
1284;Volkswagen Golf;2010;3 450 €;270 000 km;Mechaninė;Dyzelinas;1.6 l., 77kW
1285;Volvo S40;2006;3 450 €;260 000 km;Mechaninė;Dyzelinas;1.6 l., 80kW
1286;BMW 530;2006;3 450 €;224 208 km;Automatinė;Dyzelinas;3.0 l., 170kW
1287;BMW 116;2006;3 450 €;266 000 km;Mechaninė;Benzinas;1.6 l., 85kW
1288;Volkswagen Passat;2006;3 450 €;284 769 km;Mechaninė;Dyzelinas;2.0 l., 103kW
1289;Audi A3;2006;3 450 €;277 935 km;Mechaninė;Dyzelinas;2.0 l., 100kW
1290;Volkswagen Passat;2007;3 450 €;320 245 km;Mechaninė;Dyzelinas;2.0 l., 125kW
1291;Audi A3;2006;3 450 €;257 623 km;Mechaninė;Dyzelinas;2.0 l., 103kW
1292;Skoda Fabia;2011;3 450 €;228 687 km;Mechaninė;Benzinas;1.2 l., 51kW
1293;Subaru Forester;2004;3 450 €;248 090 km;Automatinė;Benzinas / dujos;2.0 l., 92kW
1294;Renault Kangoo;2012;3 450 €;300 000 km;Mechaninė;Dyzelinas;1.5 l., 55kW
1295;Peugeot 508;2012;3 450 €;312 900 km;Mechaninė;Benzinas;1.6 l., 115kW
1296;Chevrolet Captiva;2009;3 450 €;260 000 km;Automatinė;Dyzelinas;2.0 l., 110kW
1297;Audi A6;2007;3 450 €;382 000 km;Mechaninė;Dyzelinas;2.7 l., 132kW
1298;Renault Kangoo;2011;3 450 €;259 852 km;Mechaninė;Dyzelinas;1.5 l., 66kW
1299;Skoda Octavia;2009;3 450 €;284 949 km;Mechaninė;Dyzelinas;1.9 l., 77kW
1300;Alfa Romeo Giulietta;2012;3 450 €;260 000 km;Mechaninė;Dyzelinas;2.0 l., 125kW
1301;Audi A6;2007;3 450 €;238 000 km;Automatinė;Dyzelinas;2.7 l., 132kW
1302;Seat Leon;2006;3 450 €;223 000 km;Automatinė;Dyzelinas;2.0 l., 103kW
1303;Volkswagen Touareg;2004;3 450 €;226 000 km;Automatinė;Dyzelinas;5.0 l., 233kW
1304;Volvo V50;2010;3 475 €;240 000 km;Mechaninė;Dyzelinas;1.6 l., 84kW
1305;Opel Vivaro;2008;3 490 €;252 000 km;Mechaninė;Dyzelinas;2.0 l., 84kW
1306;Opel Astra;2011;3 490 €;255 000 km;Mechaninė;Dyzelinas;1.7 l., 81kW
1307;Seat Altea;2005;3 499 €;261 180 km;Mechaninė;Dyzelinas;2.0 l., 103kW
1308;Citroen DS3;2012;3 499 €;157 000 km;Mechaninė;Benzinas;1.4 l., 70kW
1309;Mazda 6;2009;3 499 €;313 996 km;Mechaninė;Dyzelinas;2.0 l., 103kW
1310;Volkswagen Passat;2009;3 499 €;250 000 km;Mechaninė;Dyzelinas;2.0 l., 103kW
1311;BMW 520;2009;3 499 €;318 332 km;Mechaninė;Dyzelinas;2.0 l., 130kW
1312;Citroen C4 Picasso;2007;3 500 €;243 000 km;Automatinė;Dyzelinas;2.0 l., 100kW
1313;Mazda 5;2010;3 500 €;251 777 km;Mechaninė;Benzinas;1.8 l., 85kW
1314;Audi A6;2009;3 500 €;303 440 km;Automatinė;Dyzelinas;2.7 l., 140kW
1315;Ford Mondeo;2011;3 500 €;300 000 km;Mechaninė;Benzinas;2.0 l., 107kW
1316;BMW 318;2009;3 500 €;298 120 km;Mechaninė;Dyzelinas;2.0 l., 105kW
1317;Citroen C4 Picasso;2015;3 500 €;230 000 km;Mechaninė;Benzinas;1.2 l., 96kW
1318;Renault Trafic;2005;3 500 €;375 411 km;Mechaninė;Dyzelinas;1.9 l., 74kW
1319;Volvo C30;2010;3 500 €;233 000 km;Mechaninė;Dyzelinas;1.6 l., 80kW
1320;Renault Trafic;2005;3 500 €;375 411 km;Mechaninė;Dyzelinas;1.9 l., 74kW
1321;Volvo C30;2010;3 500 €;233 000 km;Mechaninė;Dyzelinas;1.6 l., 80kW
1322;Hyundai i30;2012;3 500 €;146 686 km;Mechaninė;Dyzelinas;1.6 l., 66kW
1323;Renault Grand Scenic;2013;3 500 €;225 000 km;Automatinė;Dyzelinas;1.6 l., 96kW
1324;Opel Antara;2010;3 500 €;237 745 km;Mechaninė;Dyzelinas;2.0 l., 110kW
1325;Audi A6;2008;3 500 €;255 652 km;Automatinė;Dyzelinas;2.7 l., 132kW
1326;Seat Altea;2009;3 500 €;241 053 km;Automatinė;Dyzelinas;2.0 l., 103kW
1327;Ford Galaxy;2007;3 500 €;343 902 km;Mechaninė;Dyzelinas;2.0 l., 103kW
1328;Skoda Octavia;2009;3 500 €;276 000 km;Automatinė;Dyzelinas;2.0 l., 103kW
1329;Renault Grand Espace;2009;3 500 €;241 000 km;Automatinė;Benzinas;3.5 l., 177kW
1330;Honda Accord;2009;3 500 €;195 966 km;Mechaninė;Benzinas;2.0 l., 114kW
1331;Toyota Corolla Verso;2006;3 500 €;213 400 km;Mechaninė;Benzinas;1.8 l., 95kW
1332;Volvo V70;2008;3 500 €;280 000 km;Mechaninė;Dyzelinas;2.0 l., 100kW
1333;Mini Cooper S;2005;3 500 €;261 600 km;Mechaninė;Benzinas;1.6 l., 125kW
1334;BMW 318;2009;3 500 €;383 675 km;Mechaninė;Dyzelinas;2.0 l., 100kW
1335;Ford Galaxy;2009;3 500 €;226 228 km;Mechaninė;Dyzelinas;1.8 l., 92kW
1336;Subaru Forester;2004;3 500 €;214 231 km;Automatinė;Benzinas / dujos;2.0 l., 130kW
1337;Iveco Daily;2005;3 500 €;201 400 km;Mechaninė;Dyzelinas;3.0 l., 122kW
1338;Volkswagen Passat;2002;3 500 €;243 000 km;Automatinė;Benzinas;4.0 l., 202kW
1339;Opel Insignia;2009;3 500 €;310 000 km;Automatinė;Dyzelinas;2.0 l., 120kW
1340;Volkswagen CC;2014;3 500 €;203 190 km;Automatinė;Dyzelinas;2.0 l., 130kW
1341;Audi A3;2005;3 500 €;260 000 km;Mechaninė;Dyzelinas;2.0 l., 103kW
1342;Mercedes-Benz B200;2010;3 500 €;250 000 km;Mechaninė;Dyzelinas;2.0 l., 103kW
1343;Ford S-MAX;2012;3 500 €;257 000 km;Automatinė;Dyzelinas;2.0 l., 120kW
1344;Audi A6;2006;3 500 €;278 266 km;Automatinė;Dyzelinas;3.0 l., 165kW
1345;Nissan X-Trail;2004;3 500 €;227 020 km;Mechaninė;Dyzelinas;2.2 l., 100kW
1346;Volvo XC70;2004;3 500 €;350 000 km;Automatinė;Dyzelinas;2.4 l., 120kW
1347;Mazda 6;2009;3 500 €;185 000 km;Mechaninė;Benzinas;1.8 l., 88kW
1348;Volvo V70;2008;3 550 €;275 450 km;Mechaninė;Dyzelinas;2.0 l., 100kW
1349;Volkswagen Polo;2011;3 550 €;199 000 km;Mechaninė;Benzinas / dujos;1.4 l., 63kW
1350;Toyota Prius;2004;3 550 €;299 999 km;Automatinė;Benzinas / elektra;1.5 l., 56kW
1351;Land Rover Range Rover;2007;3 550 €;435 231 km;Automatinė;Dyzelinas;3.6 l., 200kW
1352;BMW 320;2006;3 550 €;320 000 km;Automatinė;Dyzelinas;2.0 l., 120kW
1353;Toyota Corolla Verso;2008;3 550 €;252 600 km;Mechaninė;Dyzelinas;2.2 l., 100kW
1354;Ford S-MAX;2006;3 550 €;194 500 km;Mechaninė;Benzinas;2.5 l., 162kW
1355;BMW 320;2005;3 550 €;118 000 km;Mechaninė;Benzinas;2.0 l., 110kW
1356;Volkswagen Golf;2012;3 550 €;290 000 km;Mechaninė;Dyzelinas;1.6 l., 77kW
1357;Volkswagen Golf Plus;2010;3 550 €;262 354 km;Mechaninė;Dyzelinas;1.6 l., 77kW
1358;Mercedes-Benz CLK240;2005;3 560 €;333 000 km;Automatinė;Benzinas;2.6 l., 125kW
1359;Volvo C30;2011;3 590 €;208 000 km;Mechaninė;Dyzelinas;1.6 l., 80kW
1360;Opel Astra;2010;3 590 €;185 000 km;Mechaninė;Benzinas;1.6 l., 85kW
1361;Peugeot 308;2010;3 599 €;239 884 km;Mechaninė;Dyzelinas;1.6 l., 68kW
1362;Toyota Corolla Verso;2008;3 599 €;291 980 km;Mechaninė;Dyzelinas;2.2 l., 100kW
1363;Volkswagen Passat;2007;3 600 €;244 000 km;Mechaninė;Dyzelinas;1.9 l., 77kW
1364;Toyota Corolla Verso;2007;3 600 €;243 000 km;Mechaninė;Dyzelinas;2.2 l., 100kW
1365;Peugeot Bipper;2012;3 600 €;202 000 km;Mechaninė;Dyzelinas;1.3 l., 55kW
1366;Volkswagen Touareg;2007;3 600 €;300 000 km;Automatinė;Dyzelinas;3.0 l., 165kW
1367;Mercedes-Benz S300;1989;3 600 €;300 000 km;Automatinė;Benzinas;3.0 l., 138kW
1368;Ford B-MAX;2013;3 600 €;145 000 km;Mechaninė;Benzinas;1.0 l., 74kW
1369;Suzuki Jimny;2007;3 600 €;107 000 km;Mechaninė;Benzinas;1.3 l., 62kW
1370;BMW 525;2009;3 600 €;282 800 km;Mechaninė;Benzinas;2.5 l., 140kW
1371;BMW 118;2009;3 600 €;329 000 km;Mechaninė;Dyzelinas;2.0 l., 105kW
1372;Kia Rio;2011;3 600 €;285 800 km;Mechaninė;Dyzelinas;1.4 l., 66kW
1373;BMW 118;2008;3 600 €;238 000 km;Mechaninė;Dyzelinas;2.0 l., 105kW
1374;Peugeot 508;2016;3 600 €;300 000 km;Mechaninė;Dyzelinas;Nenurodyta
1375;Opel Insignia;2009;3 600 €;372 547 km;Automatinė;Dyzelinas;2.0 l., 118kW
1376;Peugeot iOn;2015;3 600 €;46 000 km;Automatinė;Elektra, 15 kWh;49kW
1377;Volvo V70;2008;3 600 €;308 475 km;Mechaninė;Dyzelinas;2.4 l., 136kW
1378;Nissan Juke;2011;3 600 €;190 580 km;Mechaninė;Dyzelinas;1.5 l., 81kW
1379;BMW 120;2008;3 600 €;252 000 km;Mechaninė;Dyzelinas;2.0 l., 130kW
1380;Renault Megane;2014;3 600 €;194 000 km;Mechaninė;Dyzelinas;1.5 l., 70kW
1381;Kia Venga;2011;3 600 €;160 000 km;Mechaninė;Benzinas;1.4 l., 66kW
1382;Volkswagen Caravelle;1998;3 600 €;370 000 km;Mechaninė;Dyzelinas;Nenurodyta
1383;Renault Laguna;2010;3 600 €;220 900 km;Mechaninė;Dyzelinas;1.5 l., 81kW
1384;Volvo XC90;2003;3 650 €;337 500 km;Automatinė;Dyzelinas;2.4 l., 120kW
1385;Opel Insignia;2010;3 650 €;272 000 km;Automatinė;Dyzelinas;2.0 l., 96kW
1386;Volvo V70;2008;3 650 €;300 000 km;Mechaninė;Dyzelinas;2.4 l., 132kW
1387;Toyota Avensis;2010;3 650 €;300 000 km;Automatinė;Dyzelinas;2.2 l., 110kW
1388;Audi A4;2007;3 650 €;220 000 km;Mechaninė;Dyzelinas;1.9 l., 85kW
1389;Mercedes-Benz E220;2006;3 650 €;291 000 km;Automatinė;Dyzelinas;2.2 l., 110kW
1390;Opel Insignia;2010;3 650 €;250 000 km;Mechaninė;Dyzelinas;2.0 l., 96kW
1391;Opel Insignia;2011;3 650 €;269 000 km;Mechaninė;Dyzelinas;2.0 l., 96kW
1392;Peugeot 3008;2011;3 650 €;261 000 km;Mechaninė;Dyzelinas;1.6 l., 80kW
1393;Subaru Forester;2003;3 650 €;267 300 km;Mechaninė;Benzinas / dujos;2.0 l., 92kW
1394;Hyundai ix35;2011;3 650 €;240 000 km;Mechaninė;Dyzelinas;1.7 l., 85kW
1395;Subaru Forester;2003;3 650 €;284 500 km;Automatinė;Benzinas;2.0 l., 130kW
1396;Mini Cooper;2006;3 650 €;215 500 km;Mechaninė;Benzinas;1.6 l., 85kW
1397;Audi A4;2011;3 650 €;280 000 km;Mechaninė;Dyzelinas;2.0 l., 100kW
1398;Volvo S40;2007;3 650 €;251 000 km;Mechaninė;Dyzelinas;2.0 l., 100kW
1399;Volkswagen Caddy;2017;3 650 €;204 000 km;Mechaninė;Benzinas;1.2 l., 62kW
1400;Nissan Qashqai;2008;3 690 €;300 000 km;Mechaninė;Dyzelinas;2.0 l., 110kW
1401;Mercedes-Benz E220;2014;3 690 €;500 000 km;Automatinė;Dyzelinas / elektra;2.2 l., 125kW
1402;Citroen Grand C4 Picasso;2011;3 699 €;250 000 km;Mechaninė;Dyzelinas;1.6 l., 82kW
1403;Volkswagen Touareg;2005;3 700 €;284 544 km;Mechaninė;Dyzelinas;2.5 l., 128kW
1404;Jeep Grand Cherokee;2004;3 700 €;295 484 km;Automatinė;Dyzelinas;2.7 l., 120kW
1405;Nissan Navara;2008;3 700 €;330 000 km;Automatinė;Dyzelinas;2.5 l., 128kW
1406;Hyundai Tucson;2008;3 700 €;200 000 km;Mechaninė;Dyzelinas;2.0 l., 103kW
1407;Jaguar XJ;1986;3 700 €;777 777 km;Automatinė;Benzinas;4.2 l., 150kW
1408;Opel Astra;1999;3 700 €;192 992 km;Mechaninė;Benzinas;1.6 l., 55kW
