gamintojas;metai;kaina;rida;pavaros;kuras;kW
5;2016;14950.0;293000.0;1;1;162.0
2;2010;15500.0;313000.0;1;1;257.0
2;2016;16000.0;194000.0;1;0;200.0
19;2011;16300.0;190000.0;1;0;294.0
20;2021;16819.0;403000.0;0;4;88.0
2;2016;16999.0;243525.0;1;1;235.0
14;2024;17400.0;6473.0;0;0;298.0
21;2018;17700.0;125000.0;1;0;165.0
0;2016;17700.0;115100.0;1;0;225.0
8;2022;17900.0;67000.0;0;1;75.0
22;2013;18500.0;190000.0;1;0;357.0
3;2018;18950.0;107112.0;1;0;110.0
3;2019;19300.0;63680.0;1;1;110.0
3;2021;19550.0;142619.0;1;1;110.0
3;2009;19999.0;317000.0;0;1;75.0
3;2020;20500.0;127342.0;1;1;110.0
1;2019;20600.0;139419.0;1;0;110.0
3;2019;20600.0;51668.0;1;0;110.0
3;2019;20800.0;153539.0;1;1;140.0
3;2020;21150.0;140562.0;1;1;110.0
3;2021;21500.0;159718.0;1;1;110.0
3;2020;21990.0;150014.0;1;1;110.0
3;2020;21990.0;136462.0;1;1;110.0
8;2017;22385.0;97800.0;1;3;114.0
3;2018;22550.0;81974.0;1;1;110.0
3;2019;22650.0;95891.0;1;0;140.0
3;2021;22900.0;46427.0;1;3;180.0
3;2021;22950.0;102922.0;1;0;110.0
3;2020;23050.0;127443.0;1;0;200.0
3;2020;23350.0;123002.0;1;0;110.0
3;2020;23400.0;151971.0;1;1;140.0
3;2022;23450.0;71878.0;1;0;110.0
3;2022;23450.0;61639.0;1;0;110.0
3;2022;23450.0;86375.0;1;0;110.0
3;2021;23500.0;155357.0;1;1;147.0
3;2020;23550.0;123607.0;1;1;176.0
0;2014;24100.0;278000.0;1;1;230.0
23;2022;24400.0;20000.0;1;3;138.0
3;2020;24450.0;147658.0;1;1;110.0
0;2015;25999.0;204850.0;1;1;280.0
3;2019;26000.0;91652.0;1;1;110.0
3;2019;27050.0;117270.0;1;0;110.0
8;2019;28500.0;58000.0;1;3;160.0
3;2020;28700.0;152955.0;1;1;147.0
1;2019;28900.0;178886.0;1;1;176.0
3;2023;29990.0;32500.0;1;0;110.0
24;2017;30000.0;161000.0;1;1;202.0
5;2019;31700.0;124980.0;1;1;140.0
0;2020;38999.0;62590.0;1;0;185.0
2;2018;42000.0;131000.0;1;1;320.0
0;2019;44900.0;72000.0;1;0;250.0
2;2019;53500.0;131000.0;1;1;210.0
0;2020;61550.0;72000.0;1;0;250.0
6;2016;69000.0;163000.0;1;0;335.0
25;2020;72000.0;55800.0;1;0;324.0
1;1999;550.0;270000.0;0;0;74.0
26;2005;850.0;200000.0;0;0;55.0
18;2001;1150.0;153000.0;0;0;85.0
8;2005;1300.0;484000.0;0;1;85.0
12;2004;1480.0;147000.0;0;1;74.0
12;2006;1500.0;320000.0;0;1;110.0
3;2002;1500.0;245000.0;0;0;142.0
0;2002;1600.0;310000.0;0;0;85.0
11;2006;1600.0;372000.0;0;1;110.0
2;2000;1650.0;238000.0;1;1;85.0
8;2004;1950.0;348000.0;0;1;85.0
3;2006;1950.0;280000.0;0;1;77.0
23;2008;1950.0;129000.0;0;0;70.0
2;2005;1990.0;328500.0;1;1;103.0
3;2005;2100.0;256200.0;0;1;100.0
20;2010;2350.0;220000.0;0;1;81.0
12;2004;2450.0;259000.0;1;0;92.0
12;2009;2500.0;230000.0;0;0;85.0
4;2006;2500.0;295000.0;0;1;100.0
2;2006;2699.0;299951.0;0;1;132.0
17;2009;2750.0;274400.0;0;1;110.0
0;2005;2900.0;412000.0;0;1;120.0
26;2011;2950.0;197421.0;0;0;134.0
8;2007;2950.0;127000.0;1;0;78.0
12;2010;2950.0;286000.0;0;1;96.0
3;1996;3000.0;386036.0;0;5;81.0
12;2011;3050.0;200186.0;0;1;81.0
0;2008;3100.0;300301.0;0;1;105.0
6;2008;3100.0;398000.0;0;1;70.0
8;2008;3199.0;167000.0;0;0;98.0
6;2008;3200.0;424257.0;0;1;100.0
3;2009;3250.0;315000.0;0;1;103.0
2;2007;3350.0;330000.0;1;1;132.0
13;2006;3450.0;255000.0;0;1;103.0
5;2011;3500.0;305000.0;0;1;74.0
21;2012;3500.0;347000.0;1;1;120.0
8;2002;3550.0;223000.0;0;5;110.0
12;2010;3600.0;195323.0;0;1;81.0
26;2009;3650.0;163000.0;0;1;103.0
26;2012;3650.0;600000.0;0;1;114.0
3;1996;3800.0;380000.0;0;1;57.0
5;2005;3850.0;315848.0;0;1;120.0
10;2007;3950.0;352000.0;1;1;152.0
20;2014;3999.0;272000.0;1;1;81.0
5;2005;4000.0;296596.0;0;1;120.0
3;2006;4500.0;400000.0;1;0;184.0
2;2011;4500.0;193000.0;1;1;184.0
14;2011;4500.0;258000.0;0;1;81.0
2;2006;4500.0;388000.0;1;1;171.0
3;2010;4600.0;232555.0;1;0;147.0
8;2008;4650.0;299868.0;0;0;95.0
17;2012;4700.0;261000.0;0;1;96.0
3;2009;4900.0;330000.0;0;0;110.0
2;2005;4999.0;216524.0;1;1;165.0
0;2007;4999.0;311954.0;1;1;145.0
17;2011;4999.0;308217.0;0;0;104.0
27;2008;5000.0;151600.0;1;5;201.0
3;2013;5000.0;320000.0;0;1;103.0
0;2007;5199.0;418000.0;1;1;145.0
2;2009;5200.0;261000.0;1;1;103.0
3;2011;5200.0;341044.0;0;1;103.0
3;2009;5300.0;211337.0;1;1;66.0
0;2009;5300.0;338538.0;0;1;130.0
26;2015;5300.0;148600.0;0;1;70.0
8;2014;5550.0;256939.0;0;1;91.0
3;2011;5600.0;205553.0;0;0;90.0
5;2014;5700.0;310000.0;1;5;157.0
28;2010;5750.0;203115.0;1;3;183.0
3;2011;5800.0;319000.0;0;1;103.0
8;2015;5990.0;270000.0;0;1;82.0
5;2014;5990.0;269000.0;0;1;110.0
1;2011;5999.0;346441.0;1;0;118.0
17;2013;5999.0;297209.0;0;1;96.0
12;2011;5999.0;272000.0;0;1;66.0
5;2008;6200.0;270000.0;1;1;158.0
3;2013;6300.0;235040.0;0;1;77.0
0;2007;6300.0;291421.0;0;1;130.0
12;2012;6350.0;210540.0;1;1;135.0
29;2013;6400.0;270000.0;1;0;77.0
26;2014;6400.0;197000.0;1;1;103.0
1;2017;6450.0;177500.0;0;1;66.0
2;2014;6500.0;190000.0;1;0;245.0
12;2012;6500.0;173500.0;0;1;120.0
12;2012;6500.0;210000.0;1;1;120.0
12;2012;6500.0;194873.0;1;1;120.0
26;2015;6600.0;210000.0;0;1;70.0
18;2010;6900.0;183000.0;0;1;100.0
2;2014;7000.0;339500.0;1;1;110.0
6;2011;7050.0;200000.0;0;1;125.0
3;2014;7150.0;168000.0;0;1;81.0
4;2015;7200.0;187000.0;1;1;88.0
0;2013;7500.0;220000.0;1;1;85.0
5;2011;7600.0;350000.0;1;1;151.0
7;2009;7799.0;234000.0;1;5;180.0
4;2011;7890.0;152000.0;0;0;181.0
5;2014;7900.0;285632.0;1;1;100.0
2;2012;7900.0;203745.0;1;0;155.0
8;2010;7900.0;312000.0;1;3;73.0
8;2010;7990.0;324000.0;1;-1;73.0
5;2014;8000.0;270000.0;1;1;133.0
0;2010;8000.0;380000.0;1;1;150.0
0;2010;8350.0;239760.0;1;1;130.0
20;2017;8400.0;50470.0;0;0;85.0
12;2017;8400.0;164000.0;1;1;100.0
12;2017;8500.0;134000.0;1;1;96.0
8;2014;8500.0;286200.0;1;3;100.0
0;2009;8600.0;240000.0;1;0;225.0
14;2017;8700.0;99000.0;1;-1;80.0
16;2017;8900.0;123000.0;1;1;104.0
0;2012;8900.0;257000.0;1;1;180.0
5;2011;8950.0;325000.0;1;1;158.0
16;2017;8954.0;202000.0;1;3;104.0
8;2008;8990.0;478000.0;1;1;123.0
3;2013;8999.0;192259.0;1;0;103.0
1;2014;9000.0;175000.0;1;1;103.0
2;2011;9100.0;380000.0;1;1;180.0
0;2010;9200.0;270000.0;1;1;135.0
28;2008;9200.0;353000.0;1;3;155.0
0;2014;9440.0;203000.0;1;0;135.0
0;2009;9471.0;266000.0;1;0;225.0
5;2015;9500.0;180000.0;1;0;180.0
5;2012;9500.0;257000.0;0;1;120.0
6;1999;9500.0;219100.0;1;0;316.0
0;2011;9550.0;266000.0;1;1;180.0
5;2011;9700.0;298000.0;1;1;151.0
23;2015;9750.0;270000.0;1;3;149.0
3;2016;9900.0;453500.0;0;1;110.0
3;2010;9950.0;250000.0;1;1;176.0
26;2016;9999.0;280000.0;1;1;132.0
13;2014;9999.0;260000.0;1;1;110.0
0;2011;9999.0;382000.0;1;1;210.0
2;2012;9999.0;249000.0;1;1;150.0
0;2013;9999.0;275000.0;1;1;160.0
